route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
29,250728-MULTI-Weekday-01,24609996-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162274,290065,1,1
29,250728-MULTI-Weekday-01,24609997-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162275,290065,1,1
29,250728-MULTI-Weekday-01,24609998-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162273,290065,1,1
29,250728-MULTI-Weekday-01,24609999-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162267,290065,1,1
29,250728-MULTI-Weekday-01,24610000-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162276,290065,1,1
29,250728-MULTI-Weekday-01,24610001-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162280,290065,1,1
29,250728-MULTI-Weekday-01,24610002-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162407,290065,1,1
29,250728-MULTI-Weekday-01,24610003-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162274,290066,1,1
29,250728-MULTI-Weekday-01,24610004-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162268,290065,1,1
29,250728-MULTI-Weekday-01,24610005-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162273,290066,1,1
29,250728-MULTI-Weekday-01,24610006-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162272,290066,1,1
29,250728-MULTI-Weekday-01,24610007-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162275,290066,1,1
29,250728-MULTI-Weekday-01,24610008-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162407,290066,1,1
29,250728-MULTI-Weekday-01,24610009-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162276,290066,1,1
29,250728-MULTI-Weekday-01,24610010-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162273,290066,1,1
29,250728-MULTI-Weekday-01,24610011-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162280,290066,1,1
29,250728-MULTI-Weekday-01,24610012-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162267,290066,1,1
29,250728-MULTI-Weekday-01,24610013-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162268,290066,1,1
29,250728-MULTI-Weekday-01,24610014-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162276,290066,1,1
29,250728-MULTI-Weekday-01,24610015-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162272,290066,1,1
29,250728-MULTI-Weekday-01,24610016-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162274,290066,1,1
29,250728-MULTI-Weekday-01,24610017-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162275,290066,1,1
29,250728-MULTI-Weekday-01,24610018-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162267,290067,1,1
29,250728-MULTI-Weekday-01,24610019-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162274,290067,1,1
29,250728-MULTI-Weekday-01,24610020-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162280,290067,1,1
29,250728-MULTI-Weekday-01,24610021-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162267,290067,1,1
29,250728-MULTI-Weekday-01,24610022-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162272,290067,1,1
29,250728-MULTI-Weekday-01,24610023-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162274,290067,1,1
29,250728-MULTI-Weekday-01,24610024-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162280,290067,1,1
29,250728-MULTI-Weekday-01,24610025-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162267,290067,1,1
29,250728-MULTI-Weekday-01,24610026-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162272,290067,1,1
29,250728-MULTI-Weekday-01,24610027-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162274,290067,1,1
29,250728-MULTI-Weekday-01,24610028-250728-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1162280,290066,1,1
29,250728-MULTI-Weekday-01,24610029-250728-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1162274,290065,1,1
29,250728-MULTI-Weekday-01,24610030-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162280,290058,1,1
29,250728-MULTI-Weekday-01,24610031-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162267,290058,1,1
29,250728-MULTI-Weekday-01,24610032-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162274,290058,1,1
29,250728-MULTI-Weekday-01,24610033-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162272,290058,1,1
29,250728-MULTI-Weekday-01,24610034-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162274,290058,1,1
29,250728-MULTI-Weekday-01,24610035-250728-MULTI-Weekday-01,"29 WILLIAMS EAST",0,1162272,290067,1,1
29,250728-MULTI-Weekday-01,24610036-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162280,290058,1,1
29,250728-MULTI-Weekday-01,24610037-250728-MULTI-Weekday-01,"29 WILLIAMS WEST",1,1162267,290058,1,1
